COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
UCLA,2025,Janelle,McDonald,HEAD_COACH
UCLA,2025,BJ,DAS,ASST_COACH
UCLA,2025,Mark,Freeman,ASST_COACH
UCLA,2025,Lacy,Dagen,ASST_COACH
UCLA,2025,Haley,Gonzalez,OPERATIONS_DIR
UCLA,2024,Janelle,McDonald,HEAD_COACH
UCLA,2024,BJ,DAS,ASST_COACH
UCLA,2024,Kyle,Grable,ASST_COACH
UCLA,2024,Autumn,Grable,ASST_COACH
UCLA,2024,Haley,Gonzalez,OPERATIONS_DIR
UCLA,2023,Janelle,McDonald,HEAD_COACH
UCLA,2023,BJ,DAS,ASST_COACH
UCLA,2023,Kyle,Grable,ASST_COACH
UCLA,2023,Autumn,Grable,ASST_COACH
UCLA,2023,Haley,Gonzalez,OPERATIONS_DIR
UCLA,2022,Chris,Waller,HEAD_COACH
UCLA,2022,Kristina,Comforte,ASSOC_HEAD_COACH
UCLA,2022,Dom,Palange,ASST_COACH
UCLA,2022,BJ,Das,VOLUNTEER_ASST_COACH
UCLA,2021,Chris,Waller,HEAD_COACH
UCLA,2021,Kristina,Comforte,ASSOC_HEAD_COACH
UCLA,2021,Dom,Palange,ASST_COACH
UCLA,2021,BJ,Das,VOLUNTEER_ASST_COACH
UCLA,2021,Kyla,Ross,UNDERGRAD_ASST_COACH
UCLA,2020,Chris,Waller,HEAD_COACH
UCLA,2020,Kristina,Comforte,ASSOC_HEAD_COACH
UCLA,2020,Dom,Palange,ASST_COACH
UCLA,2020,BJ,Das,VOLUNTEER_ASST_COACH
UCLA,2019,Valerie,Kondos Field,HEAD_COACH
UCLA,2019,Chris,Waller,ASSOC_HEAD_COACH
UCLA,2019,Randy,Lane,ASSOC_HEAD_COACH
UCLA,2019,Jordyn,Wieber,VOLUNTEER_ASST_COACH
UCLA,2019,Rechelle,Dennis,UNDERGRAD_ASST_COACH
UCLA,2018,Valerie,Kondos Field,HEAD_COACH
UCLA,2018,Chris,Waller,ASSOC_HEAD_COACH
UCLA,2018,Randy,Lane,ASSOC_HEAD_COACH
UCLA,2018,Jordyn,Wieber,VOLUNTEER_ASST_COACH
UCLA,2018,Hallie,Mossett,UNDERGRAD_ASST_COACH
UCLA,2017,Valerie,Kondos Field,HEAD_COACH
UCLA,2017,Chris,Waller,ASSOC_HEAD_COACH
UCLA,2017,Randy,Lane,ASSOC_HEAD_COACH
UCLA,2017,Jordyn,Wieber,VOLUNTEER_ASST_COACH
UCLA,2016,Valerie,Kondos Field,HEAD_COACH
UCLA,2016,Chris,Waller,ASSOC_HEAD_COACH
UCLA,2016,Randy,Lane,ASSOC_HEAD_COACH
UCLA,2016,Dom,Palange,VOLUNTEER_ASST_COACH
UCLA,2016,Jennifer,Pinches,UNDERGRAD_ASST_COACH
UCLA,2016,Jordyn,Wieber,OPERATIONS_DIR
UCLA,2016,Jordyn,Wieber,HEAD_TEAM_MGR
